Day,Susceptible,Infected,Recovered,Reported_Cases,Beta_Effective,Season_Index
441,1365925436,1479236,12422205,200739,0.29298108,1.05
442,1365708083,1599202,12518407,217353,0.29238753,1.05
443,1365473391,1717611,12633349,234692,0.291094113,1.05
444,1365211891,1851660,12759299,261500,0.293144579,1.05
445,1364938081,1992787,12890363,273810,0.292820379,1.05
446,1364678911,2105691,13034868,259170,0.292121022,1.05
447,1364383870,2246857,13186720,295041,0.291412741,1.05
448,1364069035,2391714,13354594,314835,0.28999612,1.05
449,1363736305,2561630,13515145,332730,0.287793989,1.05
450,1363389519,2722761,13698176,346786,0.284565446,1.05
451,1363039828,2870447,13897414,349691,0.277745788,1.05
452,1362686837,3004892,14113148,352991,0.270611472,1.05
453,1362363693,3092334,14346079,323144,0.264159026,1.05
454,1362002733,3190524,14605556,360960,0.257458849,1.05
455,1361623476,3294430,14877262,379257,0.251377237,1.05
456,1361237024,3420477,15134169,386452,0.245133023,1.05
457,1360835031,3526530,15426586,401993,0.240034107,1.05
458,1360442543,3603261,15738654,392488,0.235138676,1.05
459,1360074396,3638073,16068572,368147,0.229177221,1.05
460,1359717167,3647838,16412587,357229,0.226527151,1.05
461,1359334852,3679975,16758985,382315,0.223135966,1.05
462,1358922590,3738911,17108331,412262,0.22121912,1.05
463,1358508402,3829538,17427977,414188,0.219392864,1.05
464,1358107324,3868992,17785414,401078,0.215748363,1.05
465,1357703586,3893070,18160982,403738,0.213797274,1.05
466,1357337425,3872442,18544017,366161,0.211500089,1.05
467,1357007483,3799964,18942561,329942,0.207784311,1.05
468,1356659062,3755472,19331269,348421,0.204034273,1.05
469,1356296335,3749912,19695436,362727,0.199610394,1.05
470,1355953191,3735742,20048750,343144,0.19407055,1.05
471,1355627093,3679822,20426878,326098,0.189056207,1.05
472,1355315923,3578745,20835048,311170,0.183355373,1.05
473,1355034537,3445591,21245482,281386,0.178915339,1.05
474,1354771004,3307593,21642684,263533,0.176420523,1.05
475,1354503670,3170865,22042217,267334,0.173302038,1.05
476,1354227560,3081060,22404258,276110,0.170578687,1.05
477,1353968009,3010460,22730200,259551,0.168503699,1.05
478,1353710710,2919034,23074731,257299,0.168010036,1.05
479,1353469868,2797485,23433381,240842,0.16744668,1.05
480,1353247553,2676308,23772419,222315,0.167723338,1.05
481,1353051126,2547455,24094188,196427,0.166852604,1.05
482,1352842205,2445578,24400829,208921,0.167228495,1.05
483,1352630907,2375517,24678341,211298,0.167062267,1.05
484,1352444543,2298897,24937665,186364,0.165403799,1.05
485,1352270753,2205930,25200805,173790,0.162554026,1.028571429
486,1352105200,2095654,25473174,165553,0.160404959,1.007142857
487,1351952466,1990163,25728271,152734,0.158507122,0.985714286
488,1351824956,1861090,25982059,127510,0.155808154,0.964285714
489,1351692168,1753986,26218744,132788,0.152720033,0.942857143
490,1351558014,1666785,26437212,134154,0.14984933,0.921428571
491,1351425650,1603669,26629979,132364,0.15014777,0.9
492,1351305121,1515514,26835283,120529,0.150036351,0.9
493,1351190661,1419459,27043121,114460,0.15019101,0.9
494,1351090025,1334432,27226357,100636,0.149626489,0.9
495,1351003527,1247812,27397352,86498,0.149857275,0.9
496,1350910931,1175843,27559698,92596,0.150703765,0.9
497,1350816879,1113900,27709545,94052,0.151738682,0.9
498,1350725177,1077402,27834342,91702,0.152601485,0.9
499,1350640845,1028324,27963750,84332,0.153522204,0.9
500,1350560011,974378,28095227,80834,0.154432751,0.9
501,1350489590,910941,28225164,70421,0.154843932,0.9
502,1350429119,850280,28343570,60471,0.155308647,0.9
503,1350366895,797721,28455811,62224,0.15501827,0.9
504,1350299687,768111,28550299,67208,0.156272444,0.9
505,1350237207,745909,28633394,62480,0.155994685,0.9
506,1350176454,716421,28721988,60753,0.156930022,0.9
507,1350118035,682515,28812737,58419,0.157795101,0.9
508,1350064779,646568,28900518,53256,0.159483061,0.9
509,1350022139,606435,28982124,42640,0.159362177,0.9
510,1349971291,577633,29060416,50848,0.162483951,0.9
511,1349917222,562290,29128507,54069,0.1652233,0.9
512,1349865555,553744,29187391,51667,0.168309834,0.9
513,1349816857,540682,29247968,48698,0.170213492,0.9
514,1349766817,523832,29313600,50040,0.173434999,0.9
515,1349720669,507943,29374658,46148,0.1763819,0.9
516,1349683103,485016,29434244,37566,0.178726405,0.9
517,1349637152,473089,29491305,45951,0.181914985,0.9
518,1349588366,468935,29543240,48786,0.184702311,0.9
519,1349541749,473388,29584551,46617,0.186906895,0.9
520,1349497638,467096,29634216,44111,0.188443502,0.9
521,1349454567,456401,29687027,43071,0.188350671,0.9
522,1349414771,444786,29737715,39796,0.188093167,0.9
523,1349380068,431145,29785506,34703,0.189285722,0.9
524,1349336335,424725,29834729,43733,0.191247718,0.9
525,1349290443,424657,29879872,45892,0.192694679,0.9
526,1349247050,430426,29916585,43393,0.193511491,0.9
527,1349204284,426773,29961798,42766,0.195322195,0.9
528,1349162778,419553,30009629,41506,0.196802465,0.9
529,1349125624,410089,30055523,37154,0.197205692,0.9
530,1349092718,397417,30099081,32906,0.197859182,0.9
531,1349053926,393444,30141222,38792,0.196747825,0.9
532,1349012120,395690,30180201,41806,0.196229945,0.9
533,1348973171,400305,30213993,38949,0.195139912,0.9
534,1348935092,395297,30256520,38079,0.193908732,0.9
535,1348893935,390939,30301517,41157,0.195919892,0.9
536,1348855771,385935,30344186,38164,0.19857484,0.9
537,1348825678,374908,30384932,30093,0.197916906,0.9
538,1348783663,372043,30425814,42015,0.202148643,0.9
539,1348742280,376346,30462387,41383,0.203609257,0.9
540,1348706938,378841,30494751,35342,0.202292236,0.9
541,1348667841,379160,30532983,39097,0.204658878,0.9
542,1348628099,377079,30574271,39742,0.204869338,0.9
543,1348588738,377574,30612721,39361,0.206852078,0.9
544,1348559049,369143,30650426,29689,0.207048583,0.9
545,1348515395,374998,30687585,43654,0.208864923,0.9
546,1348471886,380210,30725242,43509,0.21027275,0.9
547,1348427656,394275,30754852,44230,0.216834377,0.9
548,1348386007,393862,30796321,41649,0.217551982,0.9
549,1348344176,394304,30837169,41831,0.217965233,0.9
550,1348304042,399090,30872095,40134,0.217211493,0.9
551,1348273493,390535,30910777,30549,0.216606834,0.9
552,1348230868,393496,30949879,42625,0.213949306,0.9
553,1348187886,397224,30988600,42982,0.211969722,0.9
554,1348143243,412269,31017734,44643,0.210823739,0.9
555,1348104615,407219,31060795,38628,0.207338716,0.9
556,1348065545,402830,31103763,39070,0.204343305,0.9
557,1348030046,394074,31147571,35499,0.200354031,0.9
558,1348001842,380678,31188798,28204,0.198903053,0.9
559,1347963489,377265,31230067,38353,0.196453698,0.9
560,1347922294,378369,31269668,41195,0.196449125,0.9
561,1347882174,387819,31299753,40120,0.194597142,0.9
562,1347843507,384000,31341761,38667,0.196359813,0.9
563,1347807424,377099,31384252,36083,0.195786824,0.9
564,1347774487,365423,31428448,32937,0.195563313,0.9
